name,id
Alcoholic Beverages,277
Apparel,68
Apparel Services,1228
Athletic Apparel,983
Babies & Toddlers,1374
Baby Care & Hygiene,115
Baked Goods,907
Banking,37
Bathroom,1365
Beauty & Fitness,44
Bed & Bath,948
Bedding & Bed Linens,1369
Bedroom,1366
Beds & Headboards,1367
Camera & Photo Equipment,573
Camera Lenses,1383
Cameras,307
Cameras & Camcorders,306
Campaigns & Elections,398
Campers & RVs,1213
Cancer,429
Candy & Sweets,906
Car Audio,230
Car Electronics,1188
Casual Apparel,984
Children's Clothing,985
Clothing Accessories,124
Coffee & Tea,916
Commercial & Investment Real Estate,1178
Cosmetology & Beauty Professionals,147
Drugs & Medications,646
E-Commerce Services,340
Electronic Accessories,1192
Electronic Components,742
Electronics & Electrical,434
Fitness,94
Food & Drink,71
Food Production,621
Food Service,957
Fruits & Vegetables,908
Grocery & Food Retailers,121
Home Furnishings,270
Hotels & Accommodations,179
Kitchen & Dining,951
Major Kitchen Appliances,1293
Meat & Seafood,909
Men's Clothing,992
Non-Alcoholic Beverages,560
Office Furniture,333
Pet Food & Supplies,379
Shopping,18
Small Kitchen Appliances,1292
Spas & Beauty Services,145
Video Game Retailers,1146
Women's Clothing,997
